,precision,recall,f1-score,support
Galaxy,0.9962251691696052,0.9698229871498346,0.9828467998938839,301786.0
QSO,0.9644306517068513,0.9895633652822151,0.9768353771675768,93900.0
STAR,0.9167293914304034,0.9936094030910547,0.9536224108806449,66191.0
accuracy,0.97724502410815,0.97724502410815,0.97724502410815,0.97724502410815
macro avg,0.9591284041022866,0.9843319185077014,0.9711015293140353,461877.0
weighted avg,0.9783688779620151,0.97724502410815,0.9774365626939897,461877.0
